nom_de_la_station;nom_de_la_ligne;stop_lon;stop_lat;pollution_air
Anvers;Métro 2;2.3441548403302916;48.882868568843925;0.75
Assemblée Nationale;Métro 12;2.3206896796944263;48.861122050080816;0.75
Auber;RER A;2.3296591495793595;48.872348840718196;0.75
Aubervilliers-Pantin Quatre Chemins;Métro 7;2.3922205712292195;48.90375706036556;0.75
Bagneux;RER B;2.3220087047421583;48.79333690627149;0.25
Barbès - Rochechouart;Métro 2;2.350573400888514;48.883852349861876;0.25
Bastille;Métro 8;2.3695064282002;48.853425461693256;0.75
Bobigny-Pantin - Raymond Queneau;Métro 5;2.426308679232036;48.89560207433252;0.75
Boigneville;RER D;2.378618440416535;48.341208632507616;0.25
Boucicaut;Métro 8;2.2879184311245595;48.841024160993214;0.5
Bourg-la-Reine;RER B;2.312278311834309;48.78026436884244;0.25
Bréguet-Sabin;Métro 5;2.3701946685897517;48.85624405468632;0.75
Brochant;Métro 13;2.3201902468999456;48.89062201554889;0.5
Bussy-Saint-Georges;RER A;2.7103828395096956;48.83671337078136;0.5
Buzenval;Métro 9;2.401170769368413;48.85176243983227;0.75
Cernay;RER C;2.257017857907824;48.985149200200375;0.25
Champ de Mars Tour Eiffel;RER C;2.2896562493865478;48.8564765666592;0.75
Champs-Elysées - Clemenceau;Métro 13;2.31401668387612;48.86750083759083;0.5
Charonne;Métro 9;2.3848878986690423;48.85500743705073;0.75
Château d'Eau;Métro 4;2.3559014497805357;48.87247308911766;0.5
Châtelet;Métro 14;2.346411849769497;48.859556532726764;0.75
Châtelet;Métro 7;2.3481609912345776;48.856953460785334;0.75
Chemin Vert;Métro 8;2.368095085385991;48.85708736782028;0.5
Chevilly-Larue (Marché International);Métro 14;2.367374604185919;48.75848356146962;
Colonel Fabien;Métro 2;2.3705761028196575;48.877695345805535;0.75
Combs-la-Ville - Quincy;RER D;2.5476998823085504;48.667819721800015;0.25
Concorde;Métro 12;2.323181449571859;48.86615003482594;0.75
Corentin Cariou;Métro 7;2.382291557164633;48.89467266005628;0.5
Courcelle-sur-Yvette;RER B;2.097722386795541;48.70131367727702;0.25
Créteil - L'Echat;Métro 8;2.449424047013373;48.79661108096057;0.25
Dourdan;RER C;2.008756915662106;48.53376051220457;0.25
Drancy;RER B;2.454883180745302;48.932732553959134;0.25
Ecole Vétérinaire de Maisons-Alfort;Métro 8;2.422322751702586;48.814758684006726;0.5
Essonnes Robinson;RER D;2.463295818844443;48.60581740091332;0.25
Evry - Val de Seine;RER D;2.4523091616356028;48.63439299320402;0.25
Exelmans;Métro 9;2.25967486021195;48.842624465259945;0.75
Félix Faure;Métro 8;2.2918472203679703;48.84268433479664;0.5
Filles du Calvaire;Métro 8;2.366826859795412;48.86308830188695;0.5
Franklin D. Roosevelt;Métro 1;2.309359666519628;48.8691648256349;0.5
Gare de Chamarande;RER C;2.2151562718541644;48.51405318948937;0.25
Gare de l'Est;Métro 7;2.358120525273069;48.876271214541624;0.75
Gare de Lyon;RER D;2.376365660931201;48.84340211646564;0.5
Gare du Nord;RER B;2.356693437528564;48.88230685842714;0.75
Gare du Nord;RER D;2.356693437528564;48.88230685842714;0.75
Gare du Nord;Métro 4;2.356768884572096;48.879510553130615;0.75
Garges - Sarcelles;RER D;2.3899547555239407;48.97632635843972;0.25
Garibaldi;Métro 13;2.331962553647662;48.906372391923206;0.5
Gennevilliers;RER C;2.307982254553742;48.93282405536431;0.25
Gentilly;RER B;2.340926830790754;48.815228092611335;0.25
Gif-sur-Yvette;RER B;2.13649439862523;48.698175579920274;0.25
Guy Môquet;Métro 13;2.327483258626126;48.8930014419616;0.5
Hôtel de Ville;Métro 11;2.3514239919428728;48.85760073633446;0.75
Hôtel de Ville;Métro 1;2.3520676701391;48.85735240518587;0.5
Invalides;RER C;2.3126576509104404;48.8627130056211;0.5
Invalides;Métro 8;2.3146326604445164;48.86109201138112;0.5
Invalides;Métro 13;2.3146399951225347;48.86053445554123;0.5
Issy;RER C;2.257883547622023;48.81933737870203;0.25
Issy Val de Seine;RER C;2.2640113460455353;48.83050964570215;0.25
Jaurès;Métro 5;2.371438959985608;48.88302391342934;1.0
Javel - André Citroën;Métro 10;2.278009496527359;48.84618110622323;0.75
Jourdain;Métro 11;2.389325378910096;48.875247348641416;0.5
Juvisy;RER D;2.383334629403869;48.68970940912314;0.25
Kléber;Métro 6;2.293146137248626;48.87148941293503;0.75
La Défense;RER E;2.238418596250407;48.892229801568206;
La Défense;RER A;2.238418596250407;48.892229801568206;0.75
La Dhuys;Métro 11;2.465116181953647;48.8780111916913;
La Varenne - Chennevières;RER A;2.5132322873015256;48.79532749459459;0.25
Laplace;RER B;2.3343440158701894;48.808360137202826;0.25
Laumière;Métro 5;2.3793117790180993;48.88520088689033;1.0
Le Vésinet - Le Pecq;RER A;2.122132232303764;48.89794951079969;0.25
Les Baconnets;RER B;2.288108127151424;48.73984612871272;0.25
Les Noues;RER D;2.477713962139221;49.03307204384692;0.25
Lognes;RER A;2.633026934567703;48.839255049438655;0.25
Lourmel;Métro 8;2.2822419598550767;48.83866086365992;0.5
Louvre - Rivoli;Métro 1;2.3409964272720227;48.86090733426327;0.5
Lozère;RER B;2.212717641845953;48.705912413627026;0.25
Magenta;RER E;2.358695908637114;48.88081039411524;0.75
Mairie de Clichy;Métro 13;2.3058484063578857;48.90349897462669;0.75
Mairie de Montrouge;Métro 4;2.319523835754741;48.818471900073675;0.75
Maisons-Alfort - Les Juilliottes;Métro 8;2.4457883063759605;48.80310585036659;0.75
Maraîchers;Métro 9;2.4060490065790447;48.85265013095636;0.75
Marcel Sembat;Métro 9;2.243583048618053;48.83359298218974;0.75
Marx Dormoy;Métro 12;2.359808478084024;48.89057957856722;0.75
Maubert - Mutualité;Métro 10;2.348219343927666;48.85010969451494;0.75
Michel-Ange - Auteuil;Métro 9;2.2638093220226634;48.84770893216831;1.0
Montgeron - Crosne;RER D;2.461377446437224;48.70871108366713;0.25
Mouton-Duvernet;Métro 4;2.32979034782274;48.831382009093616;0.5
Nation;Métro 9;2.3959437210498136;48.84888521841715;0.75
Noisiel;RER A;2.616660606000051;48.84351408493866;0.25
Noisy-le-Sec;RER E;2.4591980956866797;48.8966634168645;0.25
Olympiades;Métro 14;2.367034270941924;48.826944155043044;0.75
Orsay Ville;RER B;2.1808087044597166;48.6975077019159;0.25
Parc des Expositions;RER B;2.5145512908225953;48.97356812654279;0.25
Pigalle;Métro 2;2.338257976509587;48.882269542226226;1.0
Place d'Italie;Métro 5;2.35559694336975;48.83096622708413;0.75
Place d'Italie;Métro 6;2.3560502682264337;48.830991153013954;0.75
Pont du Garigliano - Hôpital Européen G. Pompidou;RER C;2.2704701876900395;48.83888336270874;0.25
Pont Marie (Cité des Arts);Métro 7;2.357349968447059;48.85341474936241;0.5
Porte de Champerret;Métro 3;2.2921124821588448;48.885652393133846;0.75
Porte de Charenton;Métro 8;2.402511872850073;48.83344922287947;0.5
Porte de Choisy;Métro 7;2.3646785940494577;48.82005592914816;0.5
Porte de Montreuil;Métro 9;2.410718154027495;48.85348263120656;0.75
Porte de Pantin;Métro 5;2.3921229723281483;48.88845921134684;0.75
Porte de Saint-Cloud;Métro 9;2.2567894964207142;48.83799728287381;0.75
Porte de Versailles;Métro 12;2.2881329450932197;48.83230151439446;0.5
Porte d'Italie;Métro 7;2.3595297331071694;48.81910659655869;0.5
Porte d'Ivry;Métro 7;2.369294978223312;48.821352988336876;0.5
Porte d'Orléans;Métro 4;2.325623760353114;48.823394602620716;0.75
Pyramides;Métro 7;2.3344175359665553;48.865880289914124;0.5
Ranelagh;Métro 9;2.269948157934635;48.85550355839564;0.75
Richard-Lenoir;Métro 5;2.371813630476951;48.859876937868705;0.75
Rome;Métro 2;2.3213591738229726;48.88234581879614;0.75
Rosa Parks;RER E;2.3737182728654673;48.89645824176388;0.25
Rosny-sous-Bois;RER E;2.4857557993217947;48.87007067367753;0.25
Rue du Bac;Métro 12;2.3256727584985164;48.85587553200213;0.75
