date/heure;NO;NO2;PM10;CO2;TEMP;HUMI
2025-11-17T00:00:00+01:00;3;14;20;484;18;46,4
2025-11-16T23:00:00+01:00;3;14;26;496;18,1;47,6
2025-11-16T22:00:00+01:00;3;13;42;514;18,1;49,7
2025-11-16T21:00:00+01:00;3;17;26;523;17,7;53,1
2025-11-16T20:00:00+01:00;3;17;25;566;17,5;55,6
2025-11-16T19:00:00+01:00;4;21;24;542;17,5;58,8
2025-11-16T18:00:00+01:00;6;19;23;545;17,8;61,2
2025-11-16T17:00:00+01:00;4;17;38;547;18,5;60,5
2025-11-16T16:00:00+01:00;3;18;42;555;18,6;59,4
2025-11-16T15:00:00+01:00;3;20;33;542;18,3;59,5
2025-11-16T14:00:00+01:00;4;22;29;534;18,1;59,5
2025-11-16T13:00:00+01:00;5;25;22;531;17,8;59,9
2025-11-16T12:00:00+01:00;5;21;16;516;17,5;60,9
2025-11-16T11:00:00+01:00;5;19;15;490;16,8;62,7
2025-11-16T10:00:00+01:00;6;23;9;489;16,9;61,8
2025-11-16T09:00:00+01:00;5;26;16;482;17,5;61,7
2025-11-16T08:00:00+01:00;4;25;16;478;18;61,1
2025-11-16T07:00:00+01:00;5;27;18;487;18,5;59,3
2025-11-16T06:00:00+01:00;6;30;16;484;18,9;58,3
2025-11-16T05:00:00+01:00;11;33;13;468;19,3;57,2
2025-11-16T04:00:00+01:00;11;34;13;466;19,4;57,3
2025-11-16T03:00:00+01:00;14;38;18;471;19,4;57,8
2025-11-16T02:00:00+01:00;11;38;22;489;19,2;59,8
2025-11-16T01:00:00+01:00;17;44;21;509;19,3;60,1
2025-11-16T00:00:00+01:00;19;49;22;528;19,4;60,1
2025-11-15T23:00:00+01:00;17;51;26;523;19,3;60,6
2025-11-15T22:00:00+01:00;26;51;26;538;18,9;62,5
2025-11-15T21:00:00+01:00;14;48;23;530;18,3;64,8
2025-11-15T20:00:00+01:00;13;44;22;539;18,1;66,2
2025-11-15T19:00:00+01:00;15;40;21;552;18,3;66,8
2025-11-15T18:00:00+01:00;13;38;23;559;18,5;67,6
2025-11-15T17:00:00+01:00;12;31;33;595;19,3;66
2025-11-15T16:00:00+01:00;8;27;45;594;19,5;63,6
2025-11-15T15:00:00+01:00;6;28;48;569;19,4;61,8
2025-11-15T14:00:00+01:00;6;29;41;537;19,5;59,8
2025-11-15T13:00:00+01:00;6;31;31;526;19,4;60
2025-11-15T12:00:00+01:00;5;29;30;521;19,1;61,2
2025-11-15T11:00:00+01:00;5;28;22;486;18,5;63,9
2025-11-15T10:00:00+01:00;10;38;25;483;18,4;64,7
2025-11-15T09:00:00+01:00;10;39;27;474;18,7;63,7
2025-11-15T08:00:00+01:00;7;32;20;463;19,2;61,5
2025-11-15T07:00:00+01:00;4;26;20;462;19,9;58,8
2025-11-15T06:00:00+01:00;4;22;12;453;20,2;57,8
2025-11-15T05:00:00+01:00;4;18;13;444;20,5;57,1
2025-11-15T04:00:00+01:00;4;18;14;442;20,7;57
2025-11-15T03:00:00+01:00;5;21;22;443;20,6;57,5
2025-11-15T02:00:00+01:00;4;21;25;460;20,3;59
2025-11-15T01:00:00+01:00;5;25;37;470;20,5;58,9
2025-11-15T00:00:00+01:00;5;25;42;500;20,7;58,9
2025-11-14T23:00:00+01:00;6;31;45;494;20,7;58,2
