DATE/HEURE;PM10;TEMP;HUMI
2025-11-17T00:00:00+01:00;58;18,2;46,6
2025-11-16T23:00:00+01:00;59;18,6;47,1
2025-11-16T22:00:00+01:00;51;18,6;48,5
2025-11-16T21:00:00+01:00;71;18,7;50
2025-11-16T20:00:00+01:00;55;18,9;51,1
2025-11-16T19:00:00+01:00;65;19,1;54,5
2025-11-16T18:00:00+01:00;67;19,3;57,1
2025-11-16T17:00:00+01:00;77;19,3;57,9
2025-11-16T16:00:00+01:00;81;19,3;57
2025-11-16T15:00:00+01:00;55;18,9;57,3
2025-11-16T14:00:00+01:00;59;18,9;57
2025-11-16T13:00:00+01:00;71;19;57,1
2025-11-16T12:00:00+01:00;60;18,8;57,3
2025-11-16T11:00:00+01:00;59;18,5;58,2
2025-11-16T10:00:00+01:00;52;18,3;57,9
2025-11-16T09:00:00+01:00;65;18,4;59,3
2025-11-16T08:00:00+01:00;50;18,5;59,4
2025-11-16T07:00:00+01:00;52;18,6;59,3
2025-11-16T06:00:00+01:00;12;18,8;59,4
2025-11-16T05:00:00+01:00;11;19,3;58,4
2025-11-16T04:00:00+01:00;9;19,5;58,3
2025-11-16T03:00:00+01:00;22;19,7;58,3
2025-11-16T02:00:00+01:00;39;19,7;58,5
2025-11-16T01:00:00+01:00;56;20,2;58,2
2025-11-16T00:00:00+01:00;52;19,9;58,9
2025-11-15T23:00:00+01:00;67;20;58,3
2025-11-15T22:00:00+01:00;69;20,2;58,5
2025-11-15T21:00:00+01:00;74;20,4;58,4
2025-11-15T20:00:00+01:00;72;20,3;59
2025-11-15T19:00:00+01:00;75;20,4;60,2
2025-11-15T18:00:00+01:00;73;20,5;61,4
2025-11-15T17:00:00+01:00;97;20,5;62,2
2025-11-15T16:00:00+01:00;85;20,5;59,8
2025-11-15T15:00:00+01:00;89;20,6;57,4
2025-11-15T14:00:00+01:00;88;20,6;56,3
2025-11-15T13:00:00+01:00;87;20,7;56,7
2025-11-15T12:00:00+01:00;76;20,5;57,1
2025-11-15T11:00:00+01:00;84;20,3;58,7
2025-11-15T10:00:00+01:00;68;20;59,8
2025-11-15T09:00:00+01:00;61;19,7;60,6
2025-11-15T08:00:00+01:00;53;19,6;60,9
2025-11-15T07:00:00+01:00;46;19,8;59,9
2025-11-15T06:00:00+01:00;11;20;59,6
2025-11-15T05:00:00+01:00;15;20,4;59
2025-11-15T04:00:00+01:00;15;20,6;58,4
2025-11-15T03:00:00+01:00;38;20,9;57,7
2025-11-15T02:00:00+01:00;68;21;57,3
2025-11-15T01:00:00+01:00;81;21,3;57,1
2025-11-15T00:00:00+01:00;92;21,4;57,2
2025-11-14T23:00:00+01:00;101;21,6;56,3
2025-11-14T22:00:00+01:00;97;21,7;55,2
2025-11-14T21:00:00+01:00;124;22,1;53,2
2025-11-14T20:00:00+01:00;148;22,5;52,3
2025-11-14T19:00:00+01:00;149;22,6;51
2025-11-14T18:00:00+01:00;152;22,6;50,1
2025-11-14T17:00:00+01:00;141;22,4;49,4
2025-11-14T16:00:00+01:00;121;22,1;49,7
2025-11-14T15:00:00+01:00;136;22;50,6
2025-11-14T14:00:00+01:00;110;21,8;50,8
2025-11-14T13:00:00+01:00;123;21,5;51,4
2025-11-14T12:00:00+01:00;123;21,4;50,2
2025-11-14T11:00:00+01:00;121;21,4;50,2
2025-11-14T10:00:00+01:00;115;21,3;51
2025-11-14T09:00:00+01:00;116;21;52,3
2025-11-14T08:00:00+01:00;96;20,4;53,2
2025-11-14T07:00:00+01:00;96;20,1;49
2025-11-14T06:00:00+01:00;28;20;47
2025-11-14T05:00:00+01:00;33;20,1;47
2025-11-14T04:00:00+01:00;35;20,4;47,3
2025-11-14T03:00:00+01:00;36;20,6;50,2
2025-11-14T02:00:00+01:00;35;20,8;51,5
2025-11-14T01:00:00+01:00;70;20,8;51,3
2025-11-14T00:00:00+01:00;85;21,1;51,7
2025-11-13T23:00:00+01:00;91;21,2;51,9
2025-11-13T22:00:00+01:00;96;21,4;52
2025-11-13T21:00:00+01:00;104;21,6;52,2
2025-11-13T20:00:00+01:00;100;21,8;52,1
2025-11-13T19:00:00+01:00;94;21,8;52,9
2025-11-13T18:00:00+01:00;114;21,6;53
2025-11-13T17:00:00+01:00;118;21,4;52
2025-11-13T16:00:00+01:00;119;21,2;51,5
2025-11-13T15:00:00+01:00;122;21;50,5
2025-11-13T14:00:00+01:00;117;20,7;50,1
2025-11-13T13:00:00+01:00;106;20,5;49,6
2025-11-13T12:00:00+01:00;91;20,2;49,5
2025-11-13T11:00:00+01:00;88;20;49,9
2025-11-13T10:00:00+01:00;87;19,7;51,4
2025-11-13T09:00:00+01:00;85;19,5;51,4
2025-11-13T08:00:00+01:00;74;19,1;51
2025-11-13T07:00:00+01:00;53;18,8;51,4
2025-11-13T06:00:00+01:00;9;18,9;51,4
2025-11-13T05:00:00+01:00;18;19,3;52
2025-11-13T04:00:00+01:00;37;19,4;52,3
2025-11-13T03:00:00+01:00;15;19,7;51,8
2025-11-13T02:00:00+01:00;43;19,9;51,8
2025-11-13T01:00:00+01:00;68;19,9;51,9
2025-11-13T00:00:00+01:00;89;20;52,7
2025-11-12T23:00:00+01:00;90;20,2;53,2
2025-11-12T22:00:00+01:00;99;20,3;53,1
2025-11-12T21:00:00+01:00;81;20,1;53,2
2025-11-12T20:00:00+01:00;103;20,7;52,1
2025-11-12T19:00:00+01:00;118;20,7;52,1
2025-11-12T18:00:00+01:00;116;20,5;51,4
2025-11-12T17:00:00+01:00;122;20,4;49,2
2025-11-12T16:00:00+01:00;117;20,4;47,4
2025-11-12T15:00:00+01:00;115;20,1;46,7
2025-11-12T14:00:00+01:00;114;19,9;45,8
2025-11-12T13:00:00+01:00;102;19,6;45,3
2025-11-12T12:00:00+01:00;104;19,2;45
2025-11-12T11:00:00+01:00;100;19;45
2025-11-12T10:00:00+01:00;116;18,9;46,2
2025-11-12T09:00:00+01:00;104;18,7;47,8
2025-11-12T08:00:00+01:00;56;17,5;50,1
2025-11-12T07:00:00+01:00;61;17,8;50,2
2025-11-12T06:00:00+01:00;9;18,1;50
2025-11-12T05:00:00+01:00;7;18,5;49,8
2025-11-12T04:00:00+01:00;9;18,7;49,9
2025-11-12T03:00:00+01:00;14;18,9;50,1
2025-11-12T02:00:00+01:00;28;19;50
2025-11-12T01:00:00+01:00;52;19;49,5
2025-11-12T00:00:00+01:00;57;19,4;49
2025-11-11T23:00:00+01:00;59;19,5;49,3
2025-11-11T22:00:00+01:00;66;19,6;51,3
2025-11-11T21:00:00+01:00;75;19,6;52,9
2025-11-11T20:00:00+01:00;96;20;53,8
2025-11-11T19:00:00+01:00;106;20;55,6
2025-11-11T18:00:00+01:00;108;20,1;57,8
2025-11-11T17:00:00+01:00;111;19,9;59,3
2025-11-11T16:00:00+01:00;103;19,5;60,5
2025-11-11T15:00:00+01:00;78;19,1;61,1
2025-11-11T14:00:00+01:00;108;19,1;59,8
2025-11-11T13:00:00+01:00;85;18,9;59,1
2025-11-11T12:00:00+01:00;92;18,8;58,9
2025-11-11T11:00:00+01:00;94;18,6;58,7
2025-11-11T10:00:00+01:00;85;18,4;59,1
2025-11-11T09:00:00+01:00;77;18,1;59,6
2025-11-11T08:00:00+01:00;62;18;59,7
2025-11-11T07:00:00+01:00;40;17,8;59,2
2025-11-11T06:00:00+01:00;18;17,7;58,1
2025-11-11T05:00:00+01:00;12;18,3;55
2025-11-11T04:00:00+01:00;11;18,6;54,6
2025-11-11T03:00:00+01:00;36;18,8;54,8
2025-11-11T02:00:00+01:00;62;18,7;55,2
2025-11-11T01:00:00+01:00;62;18,8;56,2
2025-11-11T00:00:00+01:00;71;18,9;57,1
2025-11-10T23:00:00+01:00;76;19;57,7
2025-11-10T22:00:00+01:00;52;18,8;58
2025-11-10T21:00:00+01:00;68;18,7;57,9
2025-11-10T20:00:00+01:00;103;19,5;55,4
2025-11-10T19:00:00+01:00;90;19,2;55
2025-11-10T18:00:00+01:00;89;18,8;55
2025-11-10T17:00:00+01:00;115;19,3;53,3
2025-11-10T16:00:00+01:00;92;19,1;51,4
2025-11-10T15:00:00+01:00;89;18,9;51
2025-11-10T14:00:00+01:00;77;18,5;50,2
2025-11-10T13:00:00+01:00;89;18,6;49,1
2025-11-10T12:00:00+01:00;84;17,9;49,5
2025-11-10T11:00:00+01:00;120;18,5;48,1
2025-11-10T10:00:00+01:00;111;18,2;48,6
2025-11-10T09:00:00+01:00;94;17,8;49,3
2025-11-10T08:00:00+01:00;79;17,4;50,3
2025-11-10T07:00:00+01:00;44;16,7;52
2025-11-10T06:00:00+01:00;ND;17,3;50,9
2025-11-10T05:00:00+01:00;ND;17,8;51,2
2025-11-10T04:00:00+01:00;<5;18;51,9
2025-11-10T03:00:00+01:00;9;18,1;52
2025-11-10T02:00:00+01:00;37;18,2;51,2
2025-11-10T01:00:00+01:00;69;18,3;49,7
2025-11-10T00:00:00+01:00;77;18,4;49,6
2025-11-09T23:00:00+01:00;52;18,3;50,2
2025-11-09T22:00:00+01:00;69;18,7;50,5
2025-11-09T21:00:00+01:00;60;18,2;52
2025-11-09T20:00:00+01:00;75;18,6;51,9
2025-11-09T19:00:00+01:00;82;18,7;52,6
2025-11-09T18:00:00+01:00;84;18,7;52,1
2025-11-09T17:00:00+01:00;97;18,7;52,3
2025-11-09T16:00:00+01:00;69;18,7;52,3
2025-11-09T15:00:00+01:00;51;18,4;54,6
2025-11-09T14:00:00+01:00;64;18,4;55,5
2025-11-09T13:00:00+01:00;58;18,1;55,6
2025-11-09T12:00:00+01:00;56;17,9;56,6
2025-11-09T11:00:00+01:00;53;17,6;56,7
2025-11-09T10:00:00+01:00;53;17,4;56,2
2025-11-09T09:00:00+01:00;51;17,4;55,9
2025-11-09T08:00:00+01:00;39;17,3;56,9
2025-11-09T07:00:00+01:00;40;17,3;57,8
2025-11-09T06:00:00+01:00;9;17,6;57
2025-11-09T05:00:00+01:00;9;18,1;56,2
2025-11-09T04:00:00+01:00;12;18,3;56,4
2025-11-09T03:00:00+01:00;30;18,7;56
2025-11-09T02:00:00+01:00;50;18,8;55,3
2025-11-09T01:00:00+01:00;66;19,5;54
2025-11-09T00:00:00+01:00;51;19;55,1
2025-11-08T23:00:00+01:00;57;19,1;54,7
2025-11-08T22:00:00+01:00;65;19,4;54,3
2025-11-08T21:00:00+01:00;76;19,9;54,8
2025-11-08T20:00:00+01:00;81;20;54,9
2025-11-08T19:00:00+01:00;90;20,2;55,1
2025-11-08T18:00:00+01:00;81;20,2;53,9
2025-11-08T17:00:00+01:00;64;19,9;53,9
2025-11-08T16:00:00+01:00;75;19,8;57,2
2025-11-08T15:00:00+01:00;81;19,9;59,6
2025-11-08T14:00:00+01:00;79;19,7;61,7
2025-11-08T13:00:00+01:00;80;19,6;62,8
2025-11-08T12:00:00+01:00;80;19,3;62,5
2025-11-08T11:00:00+01:00;77;19,2;61,1
2025-11-08T10:00:00+01:00;73;18,9;60,7
2025-11-08T09:00:00+01:00;70;18,8;59
2025-11-08T08:00:00+01:00;47;18,4;58,3
2025-11-08T07:00:00+01:00;52;18,6;57,5
2025-11-08T06:00:00+01:00;13;18,8;57,1
2025-11-08T05:00:00+01:00;5;19,2;56,3
2025-11-08T04:00:00+01:00;11;19,4;56,2
2025-11-08T03:00:00+01:00;25;19,5;56,4
2025-11-08T02:00:00+01:00;49;19,5;56,3
